ctr,country,pdi,idv,mas,uai,ltowvs,ivr
GTM,Guatemala,95,6,37,101,#NULL!,#NULL!
ECU,Ecuador,78,8,63,67,#NULL!,#NULL!
PAN,Panama,95,11,44,86,#NULL!,#NULL!
VEN,Venezuela,81,12,73,76,16,100
COL,Colombia,67,13,64,80,13,83
FJI,Fiji,78,14,46,48,,
IDN,Indonesia,78,14,46,48,62,38
PAK,Pakistan,55,14,50,70,50,0
CRI,Costa Rica,35,15,21,86,#NULL!,#NULL!
MOZ,Mozambique,85,15,38,44,11,80
PER,Peru,64,16,42,87,25,46
TTO,Trinidad and Tobago,47,16,58,55,13,80
TAI,Taiwan,58,17,45,69,93,49
AGO,Angola,83,18,20,60,15,83
KOR,Korea South,60,18,39,85,100,29
SLV,El Salvador,66,19,40,94,20,89
AFW,Africa West,77,20,46,54,9,78
BGD,Bangladesh,80,20,55,60,47,20
CHN,China,80,20,66,30,87,24
HND,Honduras,80,20,40,50,,
SLE,Sierra Leone,70,20,40,50,,
SGP,Singapore,74,20,48,8,72,46
THA,Thailand,64,20,34,64,32,45
VNM,Vietnam,70,20,40,30,57,35
CHL,Chile,63,23,28,86,31,68
HKG,Hong Kong,68,25,57,29,61,17
KEN,Kenya,70,25,60,50,,
KWT,Kuwait,90,25,40,80,,
QAT,Qatar,93,25,55,80,,
SEN,Senegal,70,25,45,55,25,
SER,Serbia,86,25,43,92,52,28
SRB,Serbia,86,25,43,92,52,28
ARE,United Arab Emirates,90,25,50,80,,
MYS,Malaysia,104,26,50,36,41,57
AFE,Africa East,64,27,41,52,32,40
PRT,Portugal,63,27,31,104,28,33
SVN,Slovenia,71,27,19,88,49,48
BGR,Bulgaria,70,30,40,85,69,16
MWI,Malawi,70,30,40,50,,
MEX,Mexico,81,30,69,82,24,97
NAM,Namibia,65,30,40,45,35,
NPL,Nepal,65,30,40,40,,
ROU,Romania,90,30,42,90,52,20
PHL,Philippines,94,32,64,44,27,42
HRV,Croatia,73,33,40,80,58,33
GRC,Greece,60,35,57,112,45,50
LKA,Sri Lanka,80,35,10,45,45,
URY,Uruguay,61,36,38,100,26,53
TUR,Turkey,66,37,45,85,46,49
ARA,Arab countries,80,38,53,68,23,34
BRA,Brazil,69,38,49,76,44,59
JAM,Jamaica,45,39,68,13,#NULL!,#NULL!
RUS,Russia,93,39,36,95,81,20
IRN,Iran,58,41,43,59,14,40
ARG,Argentina,49,46,56,86,20,62
JPN,Japan,54,46,95,92,88,42
MAR,Morocco,70,46,53,68,14,25
SUR,Suriname,85,47,37,92,#NULL!,#NULL!
IND,India,77,48,56,40,51,26
ESP,Spain,57,51,42,86,48,44
BTN,Bhutan,94,52,32,28,,
SVK,Slovak Rep,104,52,110,51,77,28
ISR,Israel,13,54,47,81,38,#NULL!
AUT,Austria,11,55,79,70,60,63
CZE,Czech Rep,57,58,57,74,70,29
MLT,Malta,56,59,47,96,47,66
EST,Estonia,40,60,30,60,82,16
LTU,Lithuania,42,60,19,65,82,16
LUX,Luxembourg,40,60,50,70,64,56
POL,Poland,68,60,64,93,38,29
FIN,Finland,33,63,26,59,38,57
SWF,Switzerland French,70,64,58,70,#NULL!,#NULL!
SAW,South Africa white,49,65,63,49,#NULL!,#NULL!
DEU,Germany,35,67,66,65,83,40
CHE,Switzerland,34,68,70,58,74,66
NOR,Norway,31,69,8,50,35,55
SWG,Switzerland German,26,69,72,56,#NULL!,#NULL!
IRL,Ireland,28,70,68,35,24,65
LVA,Latvia,44,70,9,63,69,13
FRA,France,68,71,43,86,63,48
SWE,Sweden,31,71,5,29,53,78
BEF,Belgium French,67,72,60,93,#NULL!,#NULL!
CAF,Canada French,54,73,45,60,#NULL!,#NULL!
DNK,Denmark,18,74,16,23,35,70
BEL,Belgium,65,75,54,94,82,57
ITA,Italy,50,76,70,75,61,30
BEN,Belgium Netherl,61,78,43,97,#NULL!,#NULL!
NZL,New Zealand,22,79,58,49,33,75
CAN,Canada,39,80,52,48,36,68
HUN,Hungary,46,80,88,82,58,31
NLD,Netherlands,38,80,14,53,67,68
GBR,Great Britain,35,89,66,35,51,69
AUS,Australia,38,90,61,51,21,71
USA,U.S.A.,40,91,62,46,26,68
ALB,Albania,90,20,80,70,61,15
DZA,Algeria,#NULL!,#NULL!,#NULL!,#NULL!,26,32
AND,Andorra,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,65
ARM,Armenia,#NULL!,#NULL!,#NULL!,#NULL!,61,#NULL!
AZE,Azerbaijan,#NULL!,#NULL!,#NULL!,#NULL!,61,22
BLR,Belarus,#NULL!,#NULL!,#NULL!,#NULL!,81,15
BIH,Bosnia,#NULL!,#NULL!,#NULL!,#NULL!,70,44
BFA,Burkina Faso,70,15,50,55,27,18
CYP,Cyprus,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,70
DOM,Dominican Rep,65,30,65,45,13,54
EGY,Egypt,70,25,45,80,7,4
ETH,Ethiopia,70,20,65,55,#NULL!,46
GEO,Georgia,#NULL!,#NULL!,#NULL!,#NULL!,38,32
GEE,Germany East,#NULL!,#NULL!,#NULL!,#NULL!,78,34
GHA,Ghana,80,15,40,65,4,72
ISL,Iceland,30,60,10,50,28,67
IRQ,Iraq,95,30,70,85,25,17
JOR,Jordan,70,30,45,65,16,43
KGZ,Kyrgyz Rep,#NULL!,#NULL!,#NULL!,#NULL!,66,39
MKD,Macedonia Rep,#NULL!,#NULL!,#NULL!,#NULL!,62,35
MLI,Mali,#NULL!,#NULL!,#NULL!,#NULL!,20,43
MDA,Moldova,#NULL!,#NULL!,#NULL!,#NULL!,71,19
MNE,Montenegro,#NULL!,#NULL!,#NULL!,#NULL!,75,20
NGA,Nigeria,80,30,60,55,13,84
PRI,Puerto Rico,68,27,56,38,19,99
RWA,Rwanda,#NULL!,#NULL!,#NULL!,#NULL!,18,37
SAU,Saudi Arabia,95,25,60,80,36,52
ZAF,South Africa,49,65,63,49,34,63
TZA,Tanzania,70,25,40,5,34,38
UGA,Uganda,#NULL!,#NULL!,#NULL!,#NULL!,24,52
UKR,Ukraine,92,25,27,95,86,14
ZMB,Zambia,60,35,40,50,30,42
ZWE,Zimbabwe,#NULL!,#NULL!,#NULL!,#NULL!,15,28
